댓글 작성자,영상 시간,댓글 내용
Iloveparrots,1:28,Hiiiiii
Cynthia Johnson,1:28,Notsssniperwolf lol
Damaris Ramos,1:29,Omg I love you’re video’s
Danika Sullivan,1:31,Ur the best
2k sub befor tik tok gets banned,1:31,ello snipes wolfs
Grafton Bug,1:31,UR ONE OF MY FAV YOUTUBERS
Pickle Dust,1:31,heyyy lia!
Bery_ çhĀn,1:32,YAY IM NOT LATE I LOVE YOU LIA YOUR THE BEST 💋 😘
Mary Jane Ramos,1:32,I WATCH ALL YOUR VIDS!!
jking soz,1:32,omg
Arizbeth Rodriguez,1:32,I LOVE YOUR VIDEOS SO MUCH HIIII
Itz Autumn,1:32,Omg hey LIAAA
Aliyah Aira Bardon,1:32,oml
aishat adepeju,1:32,hi
Gamingwithkarl,1:32,i know
Butterfly ii,1:33,Hi
Mubeenaplayz,1:33,OMG HELLO IM A BIG FAN
Funtime Foxy,1:33,finally
Absolute Best Arsenal Mobile Player,1:33,Oml
Kuzivakwashe Mukona,1:33,im abiiiiiiiiiiiiiiiigggggg fan
Charlatte Cesar,1:33,say hi cali
Presli Wheeler,1:34,YAY
Abygayl Davis,1:34,What time is it for you
speedyyy,1:34,it's been long Lia
movie times cinema,1:34,Hi
Natasha Parker,1:34,yasssssssss
Marlee Cassard,1:35,OMG OMG OMGGGGGGG
P DaCosta,1:35,Hello
roxanne curbelo,1:35,I’m so excited for your lifestream
Ayesha D,1:35,how many solo wins do u have
Jessica Merrell,1:35,hii
Méabh Plays roblox,1:35,ily
melissa peters,1:35,Hi
Danni D,1:35,hi sniperwolf
Izzy Webcomics,1:35,I missed your streams
Deja De Anda,1:35,my friend Brooklyn and Deja. say hiii
CCGirl,1:36,What time is it
xX LienkieXx,1:36,you will love the game
Joshua Gorginian,1:36,sup
Bub 676,1:36,Hi
•Junko Enoshima•,1:36,ewwo
AshLPS,1:36,XD
XxPLUTOxX YT,1:36,What’s ur skin sexy
iiFlxralpxnk,1:37,I'm a noob at fortnite
Jeremy Hanton,1:37,hi lia your my fav YouTuber
owen yu,1:37,Hello
ThatBionicBlueSeaDragon,1:37,MY GUY- THIS CHAT IS MOVING FASTER THAN I CAN RUN.
Ayriani Hoerter,1:37,Hi
Anna Boggs,1:37,Hi Lia!
Reemas Saad,1:37,I love you lia
Zareen Alban,1:37,OMG
Alex,1:38,I’m watching one of your others streams at the same time!!
Adeseye Elumaro,1:38,im your bigest fan
j4b gamer,1:38,buy the new dance
Hxney CømbPlayz,1:38,Can u say hi Janet!
The awkweird thing.,1:38,-simps have joined the chat-
Idk NEXO,1:38,Yo baby girl can i play with y’all
asthxtic rxses,1:38,Omg
Pat Wolfe,1:38,HIIIIIIIIIII UR MY FAV
Honey Bear,1:38,We got cars
Christine Gibson,1:38,ok
Jennifer Boss,1:38,Starbucks
Niya is a Crybaby,1:38,ilysm
Cecilia Martinez,1:38,Big fannn
cute girl queen,1:38,hi
mascherano j,1:38,hi
Darrius Hammonds,1:38,love the vids keep it up
roxanne ramsamy,1:39,ok
Gacha_ Potatoes,1:39,I love u and Fortnite
itzz Livyy,1:39,heyyy
Hackerstarcat,1:39,U da bessttttt
Logyn Helkany,1:39,Hello I’m the biggest fan ever
XxflowerboixX Aka flowers,1:39,Haiiii
Daymaya Dorrough,1:39,FORTNITE FUNNY 😁
WhiteBlack Eagle,1:39,SNIPER WOLF HIIIIII
salma magdy,1:39,:yougotthis:
Monica Gutierrez,1:40,I dont have fortinite buf
Flexible Nubian Princess,1:40,What are you eating
Aria Brooks,1:40,Hi
Alex Gorelkin,1:40,HIII
Leanne Harpur,1:40,what u eating
Isaac Moreno,1:40,hihih
Rea Mokoena,1:40,hi
_Cinnamon_ Stix_,1:40,IM EARLY!!!!
Fortnite Ducks Vlogs,1:40,Can i play e u
march day,1:41,it is lia
Riley Alexander (STUDENT),1:41,Hi
Adopt Me lover,1:41,Hi
Marcie May Booth,1:41,I og
Maria Alegria,1:42,hi
Shadowwolfy UwU,1:42,I was just watching one of your videos
Haylie Flott,1:42,FORTNITE
Espiritours,1:42,WASSSUUUPPPP ITS 3 AM
Floor Kochl,1:42,I love u sssniperwilf
Ines Chafa,1:42,How is life
Gods Word,1:42,Srry
Ms.Tigery,1:42,it's evening for ne
alma oriedi,1:42,hello lai
La Muertita,1:42,🗣🗣🗣🗣TIKTOK WAS NOT BANED YASSSS🗣🗣🗣🤔
XD Unicorn,1:43,Hi
Emily Trotter,1:43,Play with digital
Kaylee Givens,1:43,Hi lia
Brianna Salcedo,1:43,Omg
JJ Plays,1:45,hello
i i l x l a i i,1:45,I love you ❤️❤️❤️❤️❤️❤️
Linda Villagomez,1:46,Hi
Dairy Sky,1:46,OMG FINALLY SHES PLAYIN
Nisha Hardeo,1:46,can I join
Hydra 3L,1:46,Y don’t u play overwatch
King Demetrius Laura,1:46,Hi
Samiyah and Aaliyah,1:46,Hi
Neko Chan,1:46,What are u drinking
Nova's Adventures,1:46,LOVE YOU ❤️❤️❤️
Gamerboy 697,1:46,what are you drinking
CL1PZ,1:46,Best yt channel
Itz vichan,1:46,hellow
Lakshya Gulati,1:47,hiiii
SYDNEY SEWELL,1:47,hiiii
Jonathan Spence,1:47,hiiiii
space bird23,1:47,hi
Smol gacha,1:47,👁️👄👁️
Zertify_YT,1:47,Love u
FEARO JUL,1:48,eyyyy WUSSUP
Green Flamez?,1:48,Hey
Karatejoe,1:48,Hello Sssniperwolf
Isaiah Elmore,1:48,hi
Teaffee :3,1:49,im gonna cry-
